INFO: 2025/04/25 17:58:19 proxy.go:204: Client 1 disconnected: 192.168.88.197:65145
INFO: 2025/04/25 18:05:29 proxy.go:181: Client 2 connected: 192.168.88.197:65245
INFO: 2025/04/25 18:05:59 proxy.go:204: Client 2 disconnected: 192.168.88.197:65245
INFO: 2025/04/25 18:08:06 proxy.go:181: Client 3 connected: 192.168.88.197:65278
INFO: 2025/04/25 18:08:15 proxy.go:432: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 18:09:06 proxy.go:204: Client 3 disconnected: 192.168.88.197:65278
INFO: 2025/04/25 18:12:00 proxy.go:181: Client 4 connected: 192.168.88.197:65314
INFO: 2025/04/25 18:12:29 proxy.go:399: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 18:12:29 proxy.go:432: Mic OFF: 0007 (ID: 7)
INFO: 2025/04/25 18:12:32 proxy.go:432: Mic OFF: 0004 (ID: 4)
INFO: 2025/04/25 18:12:45 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:12:48 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:12:51 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:12:54 proxy.go:399: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 18:12:54 proxy.go:399: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 18:13:30 proxy.go:204: Client 4 disconnected: 192.168.88.197:65314
INFO: 2025/04/25 18:14:03 proxy.go:432: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 18:14:11 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:14 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:17 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:20 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:23 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:27 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:30 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:33 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:36 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:39 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:42 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:45 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:48 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:51 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:54 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:14:57 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:00 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:03 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:06 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:09 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:12 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:15 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:18 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:21 proxy.go:347: Reset all microphone states due to empty API response
INFO: 2025/04/25 18:15:24 proxy.go:347: Reset all microphone states due to empty API response
